,Line Segments,,,,,,Path,,,
,bottom,bottom,top,top,,,,,,
No,x1,y1,x2,y2,clockwise,Line,x,y,Description,
1,-6.37,-3.89,-8.91,3.49,,1,-6.37,-3.89,Start – bottom of first line,
2,-5.20,-4.84,-11.08,12.24,,1,-8.91,3.49,top of first line,
3,-4.01,-5.81,-10.85,14.04,,2,-11.08,12.24,Top of next line,1
4,-2.86,-6.68,-10.47,15.42,,2,-5.20,-4.84,bottom of current line,2
5,-1.56,-7.98,-10.56,18.15,,3,-4.01,-5.81,bottom of next line,3
6,0.14,-10.44,-11.31,22.82,,3,-10.85,14.04,top of current line,4
7,2.14,-13.79,-10.87,24.00,,4,-10.47,15.42,Top of next line,1
7,3.50,-15.27,-10.22,24.57,,4,-2.86,-6.68,bottom of current line,2
,4.38,-15.35,-9.53,25.06,,5,-1.56,-7.98,bottom of next line,3
,5.16,-15.15,-8.86,25.57,,5,-10.56,18.15,top of current line,4
,5.96,-14.99,-8.24,26.25,,6,-11.31,22.82,Top of next line,1
,6.66,-14.55,-7.56,26.75,,6,0.14,-10.44,bottom of current line,2
,7.35,-14.08,-6.94,27.41,,7,2.14,-13.79,bottom of next line,3
,8.06,-13.68,-6.42,28.37,,7,-10.87,24.00,top of current line,4
,8.79,-13.32,-5.96,29.51,,,,,,
,9.57,-13.12,-5.46,30.52,,,,,,
,10.38,-12.99,-4.95,31.51,,,,,,
,11.14,-12.75,-4.42,32.44,,,Can the path generator handle this?,,,
,11.99,-12.74,-3.87,33.33,,,,,,
,12.79,-12.57,-3.31,34.16,,,,,,
,13.55,-12.33,-2.71,34.91,,,,,,
,14.33,-12.10,-2.12,35.66,,,,,,
,15.10,-11.87,-1.51,36.37,,,,,,
,15.87,-11.64,-0.89,37.02,,,,,,
,16.63,-11.39,-0.27,37.70,,,,,,
,17.40,-11.14,0.38,38.27,,,,,,
,18.15,-10.87,1.04,38.83,,,,,,
,18.91,-10.58,1.71,39.35,,,,,,
,19.66,-10.29,2.38,39.88,,,,,,
,20.43,-10.06,3.07,40.36,,,,,,
,21.17,-9.75,3.76,40.81,,,,,,
,21.93,-9.46,4.47,41.24,,,,,,
,22.68,-9.19,5.19,41.63,,,,,,
,23.41,-8.84,5.91,42.00,,,,,,
,24.14,-8.48,6.66,42.29,,,,,,
,24.92,-8.27,7.41,42.59,,,,,,
,25.67,-7.97,8.16,42.87,,,,,,
,26.40,-7.63,8.91,43.17,,,,,,
,27.12,-7.25,9.68,43.42,,,,,,
,27.83,-6.83,10.45,43.63,,,,,,
,28.57,-6.53,11.25,43.78,,,,,,
,29.31,-6.21,12.10,43.78,,,,,,
,30.06,-5.90,12.89,43.96,,,,,,
,30.83,-5.65,13.67,44.18,,,,,,
,31.59,-5.39,14.48,44.28,,,,,,
,32.38,-5.24,15.28,44.45,,,,,,
,33.14,-4.97,16.03,44.74,,,,,,
,33.90,-4.68,16.77,45.05,,,,,,
,34.65,-4.40,17.52,45.35,,,,,,
,35.39,-4.08,18.25,45.71,,,,,,
,36.13,-3.75,18.97,46.08,,,,,,
,36.86,-3.41,19.70,46.44,,,,,,
,37.65,-3.23,20.51,46.55,,,,,,
,38.43,-3.04,21.29,46.75,,,,,,
,39.18,-2.73,22.05,47.03,,,,,,
,39.90,-2.36,22.92,46.96,,,,,,
,40.08,-0.39,23.99,46.33,,,,,,
,40.22,1.67,25.39,44.74,,,,,,
,40.60,3.02,26.58,43.75,,,,,,
,41.12,4.01,27.56,43.38,,,,,,
,41.71,4.75,28.60,42.81,,,,,,
,42.29,5.54,29.60,42.38,,,,,,
,42.37,7.78,42.02,8.80,,,,,,
,39.79,15.28,30.52,42.19,,,,,,
,38.89,20.35,31.42,42.04,,,,,,
,39.02,22.44,36.12,30.88,,,,,,
,34.69,35.01,32.34,41.85,,,,,,
,39.26,24.22,37.37,29.71,,,,,,
,35.24,35.90,33.27,41.62,,,,,,
,39.69,25.45,38.34,29.38,,,,,,
,35.82,36.70,34.18,41.45,,,,,,
,39.89,27.34,39.40,28.76,,,,,,
,36.42,37.41,35.10,41.26,,,,,,
,36.83,38.69,36.05,40.96,,,,,,
